Name,GB%,GB SQ%,FB%,FB SQ%
J.P. Crawford,0.39823008849557523,0.7,0.6017699115044248,0.5955882352941176
Jose Trevino,0.43724696356275305,0.6388888888888888,0.562753036437247,0.762589928057554
Bobby Witt Jr.,0.3545816733067729,0.651685393258427,0.6454183266932271,0.7037037037037037
Bryce Harper,0.391644908616188,0.6533333333333333,0.608355091383812,0.6266094420600858
Christian Yelich,0.5443349753694581,0.5656108597285068,0.45566502463054187,0.7135135135135136
Jacob Amaya,0.5185185185185185,0.8571428571428571,0.48148148148148145,0.8076923076923077
Jacob Young,0.5261194029850746,0.6879432624113475,0.47388059701492535,0.7874015748031497
Victor Scott II,0.3691275167785235,0.6909090909090909,0.6308724832214765,0.675531914893617
Jake Cronenworth,0.37770897832817335,0.6721311475409836,0.6222910216718266,0.6965174129353234
Jake McCarthy,0.5176470588235295,0.6022727272727273,0.4823529411764706,0.6951219512195121
Jake Rogers,0.3793103448275862,0.6666666666666666,0.6206896551724138,0.7222222222222222
Marcell Ozuna,0.3563218390804598,0.5887096774193549,0.6436781609195402,0.75
Mookie Betts,0.3013182674199623,0.7375,0.6986817325800376,0.7816711590296496
Jo Adell,0.3324468085106383,0.528,0.6675531914893617,0.5976095617529881
Brice Turang,0.4022727272727273,0.6384180790960452,0.5977272727272728,0.7984790874524715
Anthony Volpe,0.37844611528822053,0.6291390728476821,0.6215538847117794,0.7338709677419355
Vinny Capra,0.5,0.7027027027027027,0.5,0.6756756756756757
Matt Mervis,0.323943661971831,0.6086956521739131,0.676056338028169,0.6875
Dane Myers,0.4199134199134199,0.711340206185567,0.5800865800865801,0.7910447761194029
Austin Riley,0.3217993079584775,0.5483870967741935,0.6782006920415224,0.6479591836734694
Patrick Bailey,0.3333333333333333,0.6210526315789474,0.6666666666666666,0.6421052631578947
Ty France,0.4214876033057851,0.6209150326797386,0.5785123966942148,0.7333333333333333
Jurickson Profar,0.3333333333333333,0.7674418604651163,0.6666666666666666,0.6569767441860465
Nick Gonzales,0.4115755627009646,0.640625,0.5884244372990354,0.73224043715847
Oneil Cruz,0.4633333333333333,0.6618705035971223,0.5366666666666666,0.6832298136645962
Isaac Collins,0.4070175438596491,0.6982758620689655,0.5929824561403508,0.591715976331361
Ryan Jeffers,0.346031746031746,0.5963302752293578,0.653968253968254,0.6747572815533981
Josh Smith,0.3869346733668342,0.6623376623376623,0.6130653266331658,0.7295081967213115
Randy Arozarena,0.38875878220140514,0.6927710843373494,0.6112412177985949,0.7471264367816092
Paul Goldschmidt,0.31362467866323906,0.5737704918032787,0.6863753213367609,0.7078651685393258
Drake Baldwin,0.4658753709198813,0.5987261146496815,0.5341246290801187,0.6611111111111111
Aaron Judge,0.27906976744186046,0.6111111111111112,0.7209302325581395,0.7204301075268817
Shea Langeliers,0.33858267716535434,0.5813953488372093,0.6614173228346457,0.6468253968253969
